название,описание,цена,картинка
Ноутбук Acer Extensa EX214 Intel Core i5-1135G7 16GB DDR 1000GB HDD + 256GB SSD Intel Iris Xe Graphics FHD DOS серый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-1135G7; Разрешение экрана: 1920x1080 Full HD; Видеоконтроллер: Intel Iris Xe Graphics; Объем оперативной памяти: 16 Gb DDR; Объем накопителя HDD: 1000 Gb; Объем накопителя SSD: 256 Gb; Вес: от 1.7...            ",61830 сом,https://www.kivano.kg/images/product/107802/1655974108_69998600.jpg
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 12GB DDR4 1000GB HDD + 256GB SSD DOS Black,"



        Операционная система DOS; процессор AMD Ryzen 3 3200U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 12 GB DDR4; накопитель HDD 1000GB + SSD...            ",43000 сом,https://www.kivano.kg/images/product/104987/1648669684_69834900.jpg
Ноутбук MSI GF63 Thin 10sc-222us Intel Core i5-10500H 16GB DDR4 512GB SSD NVIDIA GTX1650 FHD W10 Black,"



        Операционная система Windows 10 (Английская версия); процессор Intel Core i5-10500H (6/12) 2500-4500 MHz; оперативная память 16GB DDR4; накопитель 512GB SSD; экран 15.6"" IPS 1920x1080; видеоадаптер NVIDIA GTX1650            ",74060 сом,https://www.kivano.kg/images/product/107035/1653636703_12875800.jpg
Ноутбук Acer Extensa EX214 Intel Core i5-1135G7 16GB DDR 500GB HDD + 256GB SSD Intel Iris Xe Graphics FHD DOS серый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-1135G7; Разрешение экрана: 1920x1080 Full HD; Видеоконтроллер: Intel Iris Xe Graphics; Объем оперативной памяти: 16 Gb DDR; Объем накопителя HDD: 500 Gb; Объем накопителя SSD: 256 Gb; Вес: от 1.7...            ",61130 сом,https://www.kivano.kg/images/product/107803/1655974424_75829200.jpg
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 1000GB HDD + 512GB SSD DOS Black,"



        Операционная система DOS; процессор AMD Ryzen 3 3200U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 8 GB DDR4; накопитель HDD 1000GB + SSD...            ",41250 сом,https://www.kivano.kg/images/product/104988/1648669697_88805500.jpg
Ноутбук MSI GF63 Thin 10sc-222us Intel Core i5-10500H 32GB DDR4 512GB SSD NVIDIA GTX1650 FHD W10 Black,"



        Операционная система Windows 10; процессор Intel Core i5-10500H (6/12) 2500-4500 MHz; оперативная память 32GB DDR4; накопитель 512GB SSD; экран 15.6"" IPS 1920x1080; видеоадаптер NVIDIA GTX1650            ",80700 сом,https://www.kivano.kg/images/product/107036/1653636940_37366500.jpg
Ноутбук Acer Extensa EX214 Intel Core i5-1135G7 16GB DDR 256GB SSD Intel Iris Xe Graphics FHD DOS серый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-1135G7; Разрешение экрана: 1920x1080 Full HD; Видеоконтроллер: Intel Iris Xe Graphics; Объем оперативной памяти: 16 Gb DDR; Объем накопителя SSD: 256 Gb; Вес: от 1.7 кг            ",59640 сом,https://www.kivano.kg/images/product/107804/1655974523_58956100.jpg
Ноутбук Lenovo Ideapad L3-15ITL6 Intel Celeron 6305 8GB DDR 256GB SSD Intel HD Graphics FHD DOS серый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Celeron 6305; Разрешение экрана: 1920х1080 Full HD; Графический контроллер: Intel HD Graphics; Объем оперативной памяти: 8 GB DDR; Объем накопителя SSD: 256 GB; Вес: от 2.2 кг            ",31240 сом,https://www.kivano.kg/images/product/102173/1641275425_86569600.jpg
Ноутбук Lenovo Ideapad 15ADA05 AMD Ryzen 3 3250U 4GB DDR4 500GB HDD DOS Black,"



        Операционная система DOS; процессор AMD Ryzen 3 3250U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель HDD 500 GB; DVDRW...            ",34670 сом,https://www.kivano.kg/images/product/104989/1648672848_66009700.jpg
Ноутбук Acer Extensa EX214 Intel Core i5-1135G7 16GB DDR 1000GB HDD + 512GB SSD Intel Iris Xe Graphics FHD W11 серый,"



        Тип: ноутбук; Операционная система: W11 ; Процессор: Intel Core i5-1135G7; Разрешение экрана: 1920x1080 Full HD; Видеоконтроллер: Intel Iris Xe Graphics; Объем оперативной памяти: 16 Gb DDR; Объем накопителя HDD: 1000 Gb; Объем накопителя SSD: 512 Gb; Вес: от 1.7...            ",64450 сом,https://www.kivano.kg/images/product/107805/1655974918_97147100.jpg
Ноутбук Lenovo Ideapad 15ADA05 AMD Ryzen 3 3250U 8GB DDR4 500GB HDD DOS Black,"



        Операционная система DOS; процессор AMD Ryzen 3 3250U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 8 GB DDR4; накопитель HDD 500 GB; DVDRW...            ",36420 сом,https://www.kivano.kg/images/product/104990/1648672865_28166000.jpg
Ноутбук Acer Extensa EX215-52-38SC Intel Core i3-1005G1 4GB DDR4 1000GB HDD + 128GB SSD FHD DOS Black,"



        Операционная система DOS; процессор Intel Core i3-1005G1 (2/4) 1200-3400 MHz; оперативная память 4GB DDR4; накопитель 1000GB HDD + 128GB SSD; экран 15.6"" TN 1920x1080; видеоадаптер Intel Graphics             ",36770 сом,https://www.kivano.kg/images/product/107550/1655374604_24734800.jpg
Ноутбук Acer Extensa EX214 Intel Core i5-1135G7 16GB DDR 500GB HDD + 512GB SSD Intel Iris Xe Graphics FHD W11 серый,"



        Тип: ноутбук; Операционная система: W11 ; Процессор: Intel Core i5-1135G7; Разрешение экрана: 1920x1080 Full HD; Видеоконтроллер: Intel Iris Xe Graphics; Объем оперативной памяти: 16 Gb DDR; Объем накопителя HDD: 500 Gb; Объем накопителя SSD: 512 Gb; Вес: от 1.7...            ",63750 сом,https://www.kivano.kg/images/product/107806/1655975032_87916200.jpg
Ноутбук Acer A315-34 Intel Pentium N5030 4GB DDR4 500GB HDD DOS,"



        Операционная система DOS; процессор Intel Pentium (4/4) 1100 - 3100 MHz; видеоадаптер Intel Graphics; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель HDD 500 GB; DVDRW нет; вес...            ",29830 сом,https://www.kivano.kg/images/product/97823/1631702188_65410100.jpg
Ноутбук HP 250 G8 Intel Core i3-1005G1 8GB DDR 256GB SSD Intel HD Graphics 620 FHD DOS серый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i3-1005G1; Разрешение экрана: 1920 x 1080 Full HD; Графический контроллер: Intel HD Graphics 620; Объем оперативной памяти: 8 GB DDR; Объем накопителя SSD: 256 GB; Вес: от 1.74 кг
             ",46070 сом,https://www.kivano.kg/images/product/101407/1639731294_15440800.jpg
Ноутбук Lenovo Ideapad V14 Intel Celeron N4020 4GB DDR4 500GB HDD DOS Iron Gray,"



        Операционная система DOS; процессор Intel Celeron N4020 (2/2) 1100 - 2800 MHz; видеоадаптер Intel Graphics; экран 14"" TN 1366x768; оперативная память 4 GB DDR4; накопитель HDD 500 GB; DVDRW нет;...            ",24810 сом,https://www.kivano.kg/images/product/104479/1647666651_55322500.jpg
Ноутбук Lenovo Ideapad 15ADA05 AMD Ryzen 3 3250U 4GB DDR4 1000GB HDD DOS Black,"



        Операционная система DOS; процессор AMD Ryzen 3 3250U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель HDD 1000 GB; DVDRW...            ",34840 сом,https://www.kivano.kg/images/product/104991/1648672877_28719400.jpg
Ноутбук Acer Extensa EX215-52-38SC Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 128GB SSD FHD DOS Black,"



        Операционная система DOS; процессор Intel Core i3-1005G1 (2/4) 1200-3400 MHz; оперативная память 8GB DDR4; накопитель 1000GB HDD + 128GB SSD; экран 15.6"" TN 1920x1080; видеоадаптер Intel Graphics             ",38270 сом,https://www.kivano.kg/images/product/107551/1655374628_29052600.jpg
Ноутбук Acer Extensa EX214 Intel Core i5-1135G7 16GB DDR 512GB SSD Intel Iris Xe Graphics FHD W11 серый,"



        Тип: ноутбук; Операционная система: W11; Процессор: Intel Core i5-1135G7; Разрешение экрана: 1920x1080 Full HD; Видеоконтроллер: Intel Iris Xe Graphics; Объем оперативной памяти: 16 Gb DDR;Объем накопителя SSD: 512 Gb; Вес: от 1.7 кг            ",62260 сом,https://www.kivano.kg/images/product/107807/1655975147_84238800.jpg
Ноутбук Acer A315-34 Intel Pentium N5030 8GB DDR4 500GB HDD DOS,"



        Операционная система DOS; процессор Intel Pentium (4/4) 1100 - 3100 MHz; видеоадаптер Intel Graphics; экран 15.6"" TN 1366x768; оперативная память 8 GB DDR4; накопитель HDD 500 GB; DVDRW нет; вес...            ",32120 сом,https://www.kivano.kg/images/product/97824/1631702201_07843100.jpg
Ноутбук Lenovo Ideapad V14 Intel Celeron N4020 4GB DDR4 1000GB HDD DOS Iron Gray,"



        Операционная система DOS; процессор Intel Celeron N4020 (2/2) 1100 - 2800 MHz; видеоадаптер Intel Graphics; экран 14"" TN 1366x768; оперативная память 4 GB DDR4; накопитель HDD 1000 GB; DVDRW нет;...            ",24990 сом,https://www.kivano.kg/images/product/104480/1647666676_05053000.jpg
Ноутбук Lenovo Ideapad 15ADA05 AMD Ryzen 3 3250U 8GB DDR4 1000GB HDD DOS Black,"



        Операционная система DOS; процессор AMD Ryzen 3 3250U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 8 GB DDR4; накопитель HDD 1000 GB; DVDRW...            ",36600 сом,https://www.kivano.kg/images/product/104992/1648672886_84230600.jpg
Ноутбук Acer Extensa EX215-52-38SC Intel Core i3-1005G1 4GB DDR4 1000GB HDD + 256GB SSD FHD DOS Black,"



        Операционная система DOS; процессор Intel Core i3-1005G1 (2/4) 1200-3400 MHz; оперативная память 4GB DDR4; накопитель 1000GB HDD + 256GB SSD; экран 15.6"" TN 1920x1080; видеоадаптер Intel Graphics             ",37210 сом,https://www.kivano.kg/images/product/107552/1655374649_80963500.jpg
Ноутбук Acer Extensa EX214 Intel Core i5-1135G7 8GB DDR 1000GB HDD + 128GB SSD Intel Iris Xe Graphics FHD DOS серый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-1135G7; Разрешение экрана: 1920x1080 Full HD; Видеоконтроллер: Intel Iris Xe Graphics; Объем оперативной памяти: 8 Gb DDR; Объем накопителя HDD: 1000 Gb; Объем накопителя SSD: 128 Gb; Вес: от 1.7...            ",57020 сом,https://www.kivano.kg/images/product/107808/1655975286_57110800.jpg
Ноутбук Acer A315-34 Intel Pentium N5030 4GB DDR4 1000GB HDD DOS,"



        Операционная система DOS; процессор Intel Pentium (4/4) 1100 - 3100 MHz; видеоадаптер Intel Graphics; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель HDD 1000 GB; DVDRW нет; вес...            ",30270 сом,https://www.kivano.kg/images/product/97825/1631702211_53098300.jpg
Ноутбук Lenovo V14-82C2 Intel Celeron N4020 4GB DDR 1000GB HDD Intel UHD Graphics 620 HD DOS серый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Celeron N4020; Разрешение экрана: 1366x768 HD;Графический контроллер: Intel UHD Graphics 620; Объем оперативной памяти: 4 GB DDR; Объем накопителя HDD: 1000 GB; Вес: от 1.6 кг            ",26750 сом,https://www.kivano.kg/images/product/101409/1639732488_89438800.png
Ноутбук Lenovo Ideapad V14 Intel Celeron N4020 4GB DDR4 128GB SSD DOS Iron Gray,"



        Операционная система DOS; процессор Intel Celeron N4020 (2/2) 1100 - 2800 MHz; видеоадаптер Intel Graphics; экран 14"" TN 1366x768; оперативная память 4 GB DDR4; накопитель SSD 128 GB; DVDRW нет;...            ",24810 сом,https://www.kivano.kg/images/product/104481/1647666698_68887100.jpg
Ноутбук Lenovo Ideapad 15ADA05 AMD Ryzen 3 3250U 4GB DDR4 500GB HDD + 128GB SSD DOS Black,"



        Операционная система DOS; процессор AMD Ryzen 3 3250U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель HDD 500 GB +...            ",36420 сом,https://www.kivano.kg/images/product/104993/1648672897_09542800.jpg
Ноутбук Acer Extensa EX215-52-38SC Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 256GB SSD FHD DOS Black,"



        Операционная система DOS; процессор Intel Core i3-1005G1 (2/4) 1200-3400 MHz; оперативная память 8GB DDR4; накопитель 1000GB HDD + 256GB SSD; экран 15.6"" TN 1920x1080; видеоадаптер Intel Graphics             ",38700 сом,https://www.kivano.kg/images/product/107553/1655374673_08463000.jpg
Ноутбук Acer Extensa EX214 Intel Core i5-1135G7 8GB DDR 500GB HDD + 128GB SSD Intel Iris Xe Graphics FHD DOS серый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-1135G7; Разрешение экрана: 1920x1080 Full HD; Видеоконтроллер: Intel Iris Xe Graphics; Объем оперативной памяти: 8 Gb DDR; Объем накопителя HDD: 500 Gb; Объем накопителя SSD: 128 Gb; Вес: от 1.7...            ",56320 сом,https://www.kivano.kg/images/product/107809/1655975404_56655200.jpg
Ноутбук Acer A315-34 Intel Pentium N5030 8GB DDR4 1000GB HDD DOS,"



        Операционная система DOS; процессор Intel Pentium (4/4) 1100 - 3100 MHz; видеоадаптер Intel Graphics; экран 15.6"" TN 1366x768; оперативная память 8 GB DDR4; накопитель HDD 1000 GB; DVDRW нет; вес...            ",31410 сом,https://www.kivano.kg/images/product/97826/1631702223_11631800.jpg
Ноутбук Lenovo Ideapad V14 Intel Celeron N4020 4GB DDR4 256GB SSD DOS Iron Gray,"



        Операционная система DOS; процессор Intel Celeron N4020 (2/2) 1100 - 2800 MHz; видеоадаптер Intel Graphics; экран 14"" TN 1366x768; оперативная память 4 GB DDR4; накопитель SSD 256 GB; DVDRW нет;...            ",25520 сом,https://www.kivano.kg/images/product/104482/1647666722_78236500.jpg
Ноутбук Lenovo Ideapad 15ADA05 AMD Ryzen 3 3250U 8GB DDR4 500GB HDD + 128GB SSD DOS Black,"



        Операционная система DOS; процессор AMD Ryzen 3 3250U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 8 GB DDR4; накопитель HDD 500 GB +...            ",38180 сом,https://www.kivano.kg/images/product/104994/1648672906_60064900.jpg
Ноутбук Acer Extensa EX215-52-38SC Intel Core i3-1005G1 4GB DDR4 500GB HDD + 128GB SSD FHD DOS Black,"



        Операционная система DOS; процессор Intel Core i3-1005G1 (2/4) 1200-3400 MHz; оперативная память 4GB DDR4; накопитель 500GB HDD + 128GB SSD; экран 15.6"" TN 1920x1080; видеоадаптер Intel Graphics             ",36160 сом,https://www.kivano.kg/images/product/107554/1655374693_99918300.jpg
Ноутбук Acer Extensa EX214 Intel Core i5-1135G7 8GB DDR 128GB SSD Intel Iris Xe Graphics FHD DOS серый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-1135G7; Разрешение экрана: 1920x1080 Full HD; Видеоконтроллер: Intel Iris Xe Graphics; Объем оперативной памяти: 8 Gb DDR; Объем накопителя SSD: 128 Gb; Вес: от 1.7 кг            ",54830 сом,https://www.kivano.kg/images/product/107810/1655975513_00696400.jpg
Ноутбук Acer A315-34 Intel Pentium N5030 4GB DDR4 128GB SSD DOS,"



        Операционная система DOS; процессор Intel Pentium (4/4) 1100 - 3100 MHz; видеоадаптер Intel Graphics; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель SSD 128 GB; DVDRW нет; вес...            ",29830 сом,https://www.kivano.kg/images/product/97827/1631702234_29144000.jpg
Ноутбук Lenovo Ideapad 15ADA05 AMD Ryzen 3 3250U 4GB DDR4 500GB HDD + 256GB SSD DOS Black,"



        Операционная система DOS; процессор AMD Ryzen 3 3250U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель HDD 500 GB +...            ",37310 сом,https://www.kivano.kg/images/product/104995/1648672918_76368000.jpg
Ноутбук Acer Extensa EX215-52-38SC Intel Core i3-1005G1 8GB DDR4 500GB HDD + 128GB SSD FHD DOS Black,"



        Операционная система DOS; процессор Intel Core i3-1005G1 (2/4) 1200-3400 MHz; оперативная память 8GB DDR4; накопитель 500GB HDD + 128GB SSD; экран 15.6"" TN 1920x1080; видеоадаптер Intel Graphics             ",37650 сом,https://www.kivano.kg/images/product/107555/1655374720_77724700.jpg
Ноутбук Acer Extensa EX214 Intel Core i5-1135G7 8GB DDR 1000GB HDD + 256GB SSD Intel Iris Xe Graphics FHD DOS серый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-1135G7; Разрешение экрана: 1920x1080 Full HD; Видеоконтроллер: Intel Iris Xe Graphics; Объем оперативной памяти: 8 Gb DDR; Объем накопителя HDD: 1000 Gb; Объем накопителя SSD: 256 Gb; Вес: от 1.7...            ",58330 сом,https://www.kivano.kg/images/product/107811/1655975633_29104900.jpg
Ноутбук Acer A315-34 Intel Pentium N5030 8GB DDR4 128GB SSD DOS,"



        Операционная система DOS; процессор Intel Pentium (4/4) 1100 - 3100 MHz; видеоадаптер Intel Graphics; экран 15.6"" TN 1366x768; оперативная память 8 GB DDR4; накопитель SSD 128 GB; DVDRW нет; вес...            ",32290 сом,https://www.kivano.kg/images/product/97828/1631702246_18528600.jpg
Ноутбук Lenovo V14-82C2 Intel Celeron N4020 4GB DDR 480GB SSD Intel UHD Graphics 620 HD DOS серый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Celeron N4020; Разрешение экрана: 1366x768 HD;Графический контроллер: Intel UHD Graphics 620; Объем оперативной памяти: 4 GB DDR; Объем накопителя SSD: 480 GB; Вес: от 1.6 кг            ",28950 сом,https://www.kivano.kg/images/product/101412/1639733056_10441400.png
Ноутбук Lenovo Ideapad 15IGL05 Intel Celeron N4020 4GB DDR4 240GB SSD DOS Platinum Gray,"



        Операционная система DOS; процессор Intel Celeron N4020 (2/2) 1100 - 2800 MHz; видеоадаптер Intel Graphics; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель SSD 240 GB; DVDRW нет;...            ",26410 сом,https://www.kivano.kg/images/product/104484/1647671809_19449300.jpg
Ноутбук Lenovo Ideapad 15ADA05 AMD Ryzen 3 3250U 8GB DDR4 500GB HDD + 256GB SSD DOS Black,"



        Операционная система DOS; процессор AMD Ryzen 3 3250U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 8 GB DDR4; накопитель HDD 500 GB +...            ",39060 сом,https://www.kivano.kg/images/product/104996/1648672929_59900400.jpg
Ноутбук Acer Extensa EX215-52-38SC Intel Core i3-1005G1 4GB DDR4 500GB HDD + 256GB SSD FHD DOS Black,"



        Операционная система DOS; процессор Intel Core i3-1005G1 (2/4) 1200-3400 MHz; оперативная память 4GB DDR4; накопитель 500GB HDD + 256GB SSD; экран 15.6"" TN 1920x1080; видеоадаптер Intel Graphics             ",36600 сом,https://www.kivano.kg/images/product/107556/1655374740_95899200.jpg
Ноутбук Acer Extensa EX214 Intel Core i5-1135G7 8GB DDR 500GB HDD + 256GB SSD Intel Iris Xe Graphics FHD DOS серый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-1135G7; Разрешение экрана: 1920x1080 Full HD; Видеоконтроллер: Intel Iris Xe Graphics; Объем оперативной памяти: 8 Gb DDR; Объем накопителя HDD: 500 Gb; Объем накопителя SSD: 256 Gb; Вес: от 1.7...            ",57640 сом,https://www.kivano.kg/images/product/107812/1655978686_65503800.jpg
Ноутбук Acer A315-34 Intel Pentium N5030 4GB DDR4 256GB SSD DOS,"



        Операционная система DOS; процессор Intel Pentium (4/4) 1100 - 3100 MHz; видеоадаптер Intel Graphics; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель SSD 256 GB; DVDRW нет; вес...            ",30710 сом,https://www.kivano.kg/images/product/97829/1631702258_45225100.jpg
Ноутбук Asus X543MA-DM1140 Intel Pentium N5030 4GB DDR4 128GB SSD Intel UHD Graphics 605 FHD DOS серый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Pentium N5030; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel UHD Graphics 605; Объем оперативной памяти: 4 GB DDR4; Объем накопителя SSD: 128 GB; Вес: от 1.9 кг            ",38620 сом,https://www.kivano.kg/images/product/103717/1645777693_21137300.jpg
Ноутбук Lenovo Ideapad 15IGL05 Intel Celeron N4020 4GB DDR4 500GB SSD DOS Platinum Gray,"



        Операционная система DOS; процессор Intel Celeron N4020 (2/2) 1100 - 2800 MHz; видеоадаптер Intel Graphics; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель SSD 500 GB; DVDRW нет;...            ",27190 сом,https://www.kivano.kg/images/product/104485/1647671817_80632300.jpg
Ноутбук Lenovo Ideapad 15ADA05 AMD Ryzen 3 3250U 4GB DDR4 1000GB HDD + 128GB SSD DOS Black,"



        Операционная система DOS; процессор AMD Ryzen 3 3250U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель HDD 1000 GB +...            ",36600 сом,https://www.kivano.kg/images/product/104997/1648672941_29393000.jpg
Ноутбук Acer Extensa EX215-52-38SC Intel Core i3-1005G1 8GB DDR4 500GB HDD + 256GB SSD FHD DOS Black,"



        Операционная система DOS; процессор Intel Core i3-1005G1 (2/4) 1200-3400 MHz; оперативная память 8GB DDR4; накопитель 500GB HDD + 256GB SSD; экран 15.6"" TN 1920x1080; видеоадаптер Intel Graphics             ",38100 сом,https://www.kivano.kg/images/product/107557/1655374777_15367800.jpg
Ноутбук Acer Extensa EX214 Intel Core i5-1135G7 8GB DDR 256GB SSD Intel Iris Xe Graphics FHD DOS серый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-1135G7; Разрешение экрана: 1920x1080 Full HD; Видеоконтроллер: Intel Iris Xe Graphics; Объем оперативной памяти: 8 Gb DDR;  Объем накопителя SSD: 256 Gb; Вес: от 1.7 кг            ",56140 сом,https://www.kivano.kg/images/product/107813/1655978772_78109700.jpg
Ноутбук Acer A315-34 Intel Pentium N5030 8GB DDR4 256GB SSD DOS,"



        Операционная система DOS; процессор Intel Pentium (4/4) 1100 - 3100 MHz; видеоадаптер Intel Graphics; экран 15.6"" TN 1366x768; оперативная память 8 GB DDR4; накопитель SSD 256 GB; DVDRW нет; вес...            ",32730 сом,https://www.kivano.kg/images/product/97830/1631702270_43545500.jpg
Ноутбук Lenovo Ideapad 15IGL05 Intel Celeron N4020 4GB DDR4 500GB HDD + 120GB SSD DOS Platinum Gray,"



        Операционная система DOS; процессор Intel Celeron N4020 (2/2) 1100 - 2800 MHz; видеоадаптер Intel Graphics; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель HDD 500 GB + SSD...            ",26410 сом,https://www.kivano.kg/images/product/104486/1647671826_83880100.jpg
Ноутбук Lenovo Ideapad 15ADA05 AMD Ryzen 3 3250U 8GB DDR4 1000GB HDD + 128GB SSD DOS Black,"



        Операционная система DOS; процессор AMD Ryzen 3 3250U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 8 GB DDR4; накопитель HDD 1000 GB +...            ",38350 сом,https://www.kivano.kg/images/product/104998/1648672957_02606700.jpg
Ноутбук Acer Extensa EX214 Intel Core i5-1135G7 8GB DDR 1000GB HDD + 512GB SSD Intel Iris Xe Graphics FHD W11 серый,"



        Тип: ноутбук; Операционная система: W11 ; Процессор: Intel Core i5-1135G7; Разрешение экрана: 1920x1080 Full HD; Видеоконтроллер: Intel Iris Xe Graphics; Объем оперативной памяти: 8 Gb DDR; Объем накопителя HDD: 1000 Gb; Объем накопителя SSD: 512 Gb; Вес: от 1.7...            ",60950 сом,https://www.kivano.kg/images/product/107814/1655978873_42166300.jpg
Ноутбук Acer A315-34 Intel Pentium N5030 4GB DDR4 512GB SSD DOS,"



        Операционная система DOS; процессор Intel Pentium (4/4) 1100 - 3100 MHz; видеоадаптер Intel Graphics; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель SSD 512 GB; DVDRW нет; вес...            ",32910 сом,https://www.kivano.kg/images/product/97831/1631702287_25770100.jpg
Ноутбук Lenovo Ideapad 15ADA05 AMD Ryzen 3 3250U 12GB DDR4 1000GB HDD + 128GB SSD DOS Black,"



        Операционная система DOS; процессор AMD Ryzen 3 3250U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 12 GB DDR4; накопитель HDD 1000 GB +...            ",40110 сом,https://www.kivano.kg/images/product/104999/1648672966_26119200.jpg
Ноутбук Acer Extensa EX215-52-38SC Intel Core i3-1005G1 4GB DDR4 500GB HDD FHD DOS Black,"



        Операционная система DOS; процессор Intel Core i3-1005G1 (2/4) 1200-3400 MHz; оперативная память 4GB DDR4; накопитель 500GB HDD; экран 15.6"" TN 1920x1080; видеоадаптер Intel Graphics             ",34840 сом,https://www.kivano.kg/images/product/107559/1655375166_14328200.jpg
Ноутбук Acer Extensa EX214 Intel Core i5-1135G7 8GB DDR 500GB HDD + 512GB SSD Intel Iris Xe Graphics FHD W11 серый,"



        Тип: ноутбук; Операционная система: W11 ; Процессор: Intel Core i5-1135G7; Разрешение экрана: 1920x1080 Full HD; Видеоконтроллер: Intel Iris Xe Graphics; Объем оперативной памяти: 8 Gb DDR; Объем накопителя HDD: 500 Gb; Объем накопителя SSD: 512 Gb; Вес: от 1.7...            ",60250 сом,https://www.kivano.kg/images/product/107815/1655979006_75311400.jpg
Ноутбук Acer A315-34 Intel Pentium N5030 8GB DDR4 512GB SSD DOS,"



        Операционная система DOS; процессор Intel Pentium (4/4) 1100 - 3100 MHz; видеоадаптер Intel Graphics; экран 15.6"" TN 1366x768; оперативная память 8 GB DDR4; накопитель SSD 512 GB; DVDRW нет; вес...            ",34670 сом,https://www.kivano.kg/images/product/97832/1631702302_04912400.jpg
Ноутбук Lenovo IdeaPad 3 15ITL6 Intel Core i7-1165G7 12GB DDR 1000GB HDD Nvidia MX450 2GB FHD DOS серый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i7-1165G7 ; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Nvidia MX450; Объем оперативной памяти: 12 GB DDR4; Объем накопителя HDD: 1000 GB; Вес: от 1.65 кг            ",66200 сом,https://www.kivano.kg/images/product/102696/1642654315_98322300.png
Ноутбук Lenovo Ideapad 15IGL05 Intel Celeron N4020 4GB DDR4 1000GB HDD + 120GB SSD DOS Platinum Gray,"



        Операционная система DOS; процессор Intel Celeron N4020 (2/2) 1100 - 2800 MHz; видеоадаптер Intel Graphics; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель HDD 1000 GB + SSD...            ",27190 сом,https://www.kivano.kg/images/product/104488/1647671845_77411200.jpg
